Customer_ID,Company_Name,Subscription_Tier,MRR,Contract_Value,Usage_Score,Feature_Adoption,Support_Tickets,NPS,Risk_Score,Days_Since_Login
CUST-1001,TechCorp Inc,Enterprise,12500,150000,87,94,2,72,12,3
CUST-1002,DataFlow LLC,Professional,4500,54000,92,88,1,68,18,1
CUST-1003,CloudSync Co,Starter,1200,14400,45,52,8,42,67,45
CUST-1004,InnovateLab,Enterprise,18000,216000,95,97,0,81,8,2
CUST-1005,ByteStream,Professional,5200,62400,78,76,4,58,34,12
CUST-1006,NexGen Solutions,Enterprise,15500,186000,89,91,3,74,15,5
CUST-1007,SwiftData Inc,Starter,980,11760,38,48,12,35,78,67
CUST-1008,MetricsPro,Professional,6800,81600,85,82,2,65,22,8
CUST-1009,Analytix Corp,Enterprise,22000,264000,93,96,1,79,9,1
CUST-1010,DataVault LLC,Professional,3900,46800,72,68,6,54,45,23
CUST-1011,CloudOps,Starter,1450,17400,58,61,7,48,56,34
CUST-1012,StreamlineSoft,Enterprise,19500,234000,91,93,2,76,11,4
